wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
433;7.11900;0.85900;-0.29100;2.05600;3.52200
433.5;7.17500;0.89300;-0.23100;2.05500;3.44800
434;7.25500;0.91600;-0.22500;2.06100;3.39900
434.5;7.36100;1.04100;-0.21000;2.03100;3.33100
435;7.43900;1.14600;-0.16100;2.00000;3.27600
435.5;7.42600;1.07300;-0.18100;1.94100;3.24100
436;7.38200;1.03300;-0.19100;1.94200;3.22400
436.5;7.28100;0.92500;-0.17100;1.94200;3.09700
437;7.26400;0.85300;-0.20600;1.94100;3.04200
437.5;7.16900;0.70300;-0.24400;1.93400;2.98800
438;7.10900;0.62500;-0.22100;1.86200;2.87900
438.5;7.06500;0.57300;-0.14700;1.84900;2.85500
439;7.04800;0.52600;-0.07800;1.83900;2.88300
439.5;6.95300;0.47000;-0.07800;1.84200;2.99700
440;6.77400;0.35000;-0.09400;1.85300;3.14400
440.5;6.66900;0.30500;-0.14500;1.84000;3.22700
441;6.53900;0.28600;-0.18100;1.84700;3.22200
441.5;6.40000;0.20100;-0.16100;1.85300;3.14100
442;6.34700;0.14800;-0.19300;1.86500;3.08900
442.5;6.27700;0.08900;-0.20800;1.85200;3.06000
443;6.33500;0.12700;-0.19900;1.79400;2.97300
443.5;6.45400;0.24000;-0.16000;1.75100;2.94500
444;6.61400;0.38800;-0.13500;1.75500;2.97500
444.5;6.65500;0.36000;-0.17500;1.75400;3.01500
445;6.56800;0.25900;-0.15100;1.74500;3.03800
445.5;6.48500;0.21300;-0.15300;1.77900;2.96300
446;6.40700;0.19000;-0.14800;1.77400;2.80900
446.5;6.33900;0.13500;-0.10900;1.79100;2.64800
447;6.35700;0.11600;-0.11500;1.83400;2.61000
447.5;6.40700;0.18000;-0.12700;1.88400;2.65000
448;6.49000;0.25600;-0.20500;1.97700;2.79200
448.5;6.70700;0.45100;-0.23300;1.99800;2.85400
449;6.95300;0.74200;-0.23000;1.98000;2.90200
449.5;7.04200;0.73900;-0.28200;1.90000;2.92600
450;7.00600;0.68100;-0.29700;1.79300;2.91300
450.5;6.89500;0.70700;-0.33700;1.74100;2.88900
451;6.86300;0.67100;-0.38200;1.66000;2.78600
451.5;6.79400;0.53600;-0.40500;1.61300;2.73400
452;6.65900;0.35700;-0.43700;1.64500;2.86800
452.5;6.55500;0.22300;-0.45200;1.73500;3.02000
453;6.45400;0.10900;-0.52500;1.87000;3.19100
453.5;6.42400;0.03200;-0.52800;1.89900;3.19700
454;6.41100;0.00300;-0.50400;1.87600;3.16600
454.5;6.39200;-0.12500;-0.48300;1.82800;3.05900
455;6.47100;-0.18400;-0.45100;1.71500;2.88200
455.5;6.46900;-0.16700;-0.42100;1.63000;2.77600
456;6.47400;-0.20600;-0.42200;1.54500;2.64100
456.5;6.46400;-0.23200;-0.39300;1.45500;2.50500
457;6.35700;-0.26800;-0.31900;1.40300;2.45700
457.5;6.28300;-0.30900;-0.30200;1.40400;2.41400
458;6.13900;-0.36000;-0.32600;1.41300;2.30500
458.5;6.00300;-0.41700;-0.32600;1.37600;2.20500
459;5.80800;-0.53900;-0.31700;1.38200;2.13600
459.5;5.78200;-0.58600;-0.31300;1.42600;2.12100
460;5.85300;-0.54900;-0.33400;1.43500;2.08800
460.5;5.88500;-0.43400;-0.37500;1.43700;2.14200
461;5.93200;-0.29200;-0.44400;1.46800;2.22000
461.5;5.98800;-0.21800;-0.42800;1.48300;2.28900
462;6.08300;-0.17300;-0.35000;1.46000;2.34400
462.5;6.21400;-0.09100;-0.26600;1.41100;2.33100
463;6.36500;0.02600;-0.25400;1.41600;2.32500
463.5;6.40900;0.06900;-0.24600;1.42600;2.30300
464;6.37900;0.00700;-0.21300;1.46800;2.30300
464.5;6.47000;0.01600;-0.23900;1.51400;2.36700
465;6.51000;0.05600;-0.27000;1.54500;2.34800
465.5;6.40400;0.00700;-0.27500;1.53700;2.31000
466;6.33400;-0.04400;-0.27900;1.52500;2.27600
466.5;6.26200;-0.16800;-0.24500;1.46800;2.22000
467;6.35400;-0.19200;-0.23500;1.36300;2.16300
467.5;6.49900;-0.03300;-0.20600;1.27300;2.05000
468;6.56600;0.01000;-0.22300;1.26600;2.01300
468.5;6.43300;-0.08900;-0.27600;1.32300;2.05900
469;6.40200;-0.14200;-0.26900;1.37900;2.13100
469.5;6.35400;-0.17800;-0.32000;1.46600;2.27300
470;6.29100;-0.20500;-0.37300;1.55300;2.35700
470.5;6.19200;-0.26200;-0.38500;1.59100;2.43800
471;6.12900;-0.31200;-0.40800;1.53800;2.43800
471.5;6.04600;-0.43500;-0.43800;1.43000;2.30500
472;6.02300;-0.48900;-0.52300;1.32800;2.18600
472.5;6.01400;-0.48800;-0.52600;1.25300;1.98300
473;5.97500;-0.52700;-0.48700;1.21600;1.88500
473.5;5.87100;-0.53400;-0.47200;1.22900;1.84700
474;5.81500;-0.58200;-0.46100;1.23500;1.83600
474.5;5.72900;-0.60200;-0.45900;1.28600;1.91300
475;5.68100;-0.61900;-0.41200;1.32300;2.02800
475.5;5.69300;-0.65900;-0.42300;1.32800;2.11400
476;5.63100;-0.72600;-0.43400;1.31200;2.15800
476.5;5.55300;-0.86700;-0.45200;1.27500;2.10000
477;5.58200;-0.89300;-0.43700;1.22800;2.00600
477.5;5.76600;-0.79400;-0.39400;1.19000;1.89800
478;5.97100;-0.63000;-0.41000;1.19800;1.90500
478.5;6.07200;-0.48700;-0.41100;1.20600;1.90000
479;6.04500;-0.48000;-0.46500;1.23100;1.97100
479.5;5.90400;-0.49500;-0.47000;1.24000;2.02700
480;5.65900;-0.69300;-0.44500;1.23900;2.06600
480.5;5.32600;-1.04800;-0.48500;1.22300;2.08300
481;5.03300;-1.32400;-0.47600;1.17800;2.07600
481.5;4.76300;-1.58000;-0.42100;1.13900;2.04500
482;4.58700;-1.74200;-0.32300;1.13400;1.99800
482.5;4.52300;-1.82000;-0.29300;1.12700;1.94600
483;4.48700;-1.87100;-0.32600;1.17600;1.95500
483.5;4.51800;-1.80800;-0.34000;1.24800;1.96800
484;4.58600;-1.68500;-0.38600;1.34300;1.99500
484.5;4.77000;-1.38200;-0.40900;1.38000;1.97400
485;5.08800;-1.00900;-0.41500;1.37900;1.94900
485.5;5.35100;-0.72800;-0.45200;1.36100;1.99900
486;5.61900;-0.34500;-0.42400;1.29400;2.02300
486.5;5.83600;-0.07200;-0.37400;1.29800;2.11200
487;5.99900;0.12700;-0.35100;1.33800;2.23500
487.5;6.15700;0.22200;-0.37500;1.37900;2.31000
488;6.16400;0.21300;-0.38200;1.46800;2.37000
488.5;6.10600;0.06300;-0.41300;1.57100;2.48300
489;5.99900;-0.10700;-0.46000;1.67800;2.55200
489.5;5.97900;-0.24200;-0.46600;1.68900;2.54500
490;5.97300;-0.34800;-0.43700;1.62400;2.47200
490.5;5.90100;-0.45800;-0.42600;1.54700;2.42600
491;5.84800;-0.46500;-0.38900;1.43000;2.32600
491.5;5.84700;-0.44800;-0.38800;1.35100;2.26400
492;5.91800;-0.37600;-0.39600;1.25700;2.18900
492.5;5.91400;-0.35100;-0.40300;1.18600;2.14000
493;5.76100;-0.43900;-0.41600;1.14300;2.06800
493.5;5.61900;-0.55100;-0.40000;1.09500;2.00400
494;5.51900;-0.65200;-0.42200;1.10100;1.90200
494.5;5.34200;-0.90700;-0.38100;1.10900;1.79000
495;5.16700;-1.19100;-0.35100;1.11500;1.69900
495.5;5.04700;-1.39500;-0.33400;1.15100;1.67000
496;5.06800;-1.41400;-0.41800;1.18600;1.69700
496.5;5.13300;-1.39300;-0.49300;1.21100;1.78700
497;5.29000;-1.24100;-0.53400;1.21800;1.90600
497.5;5.37500;-1.16000;-0.57800;1.23100;2.02000
498;5.44000;-1.09700;-0.61200;1.18100;2.06900
498.5;5.62300;-0.82600;-0.57300;1.07200;2.02200
499;5.81500;-0.59900;-0.54000;1.02100;1.97900
499.5;5.81300;-0.53000;-0.48200;1.02600;1.97300
500;5.79300;-0.56800;-0.46100;1.01100;1.91700
500.5;5.76200;-0.59300;-0.43600;0.96500;1.77500
501;5.70400;-0.64500;-0.50200;0.96000;1.68800
501.5;5.52000;-0.79400;-0.51900;0.87700;1.59700
502;5.27900;-0.94300;-0.52400;0.86900;1.57100
502.5;5.16700;-1.09100;-0.54500;0.90900;1.53000
503;5.11100;-1.13300;-0.50500;0.92600;1.50300
503.5;5.26500;-0.98300;-0.46500;0.94200;1.50500
504;5.46800;-0.88700;-0.40200;1.01600;1.52700
504.5;5.63900;-0.80300;-0.40300;1.13900;1.61900
505;5.79500;-0.86100;-0.39500;1.23200;1.64100
505.5;5.84600;-0.93600;-0.39000;1.29700;1.64400
506;5.76600;-1.12900;-0.40900;1.33800;1.61100
506.5;5.57700;-1.29800;-0.40900;1.29300;1.60900
507;5.45300;-1.33500;-0.41200;1.28900;1.70500
507.5;5.45000;-1.26200;-0.35900;1.24100;1.73900
508;5.40100;-1.17100;-0.32500;1.21000;1.82400
508.5;5.26000;-1.24900;-0.31900;1.17700;1.92800
509;5.10400;-1.37000;-0.29800;1.13700;1.97800
509.5;5.00900;-1.46200;-0.32500;1.11000;2.01900
510;4.85600;-1.65200;-0.39100;1.10200;2.02200
510.5;4.62600;-1.82800;-0.48600;1.08700;2.00400
511;4.39500;-2.01100;-0.48200;1.01000;1.77000
511.5;4.27500;-2.12300;-0.44600;0.95300;1.61200
512;4.32000;-2.12000;-0.42300;0.94100;1.55000
512.5;4.44000;-2.01700;-0.38300;0.94000;1.44900
513;4.50300;-1.99300;-0.45400;0.95900;1.43100
513.5;4.42700;-2.09700;-0.50000;0.97300;1.43800
514;4.44300;-2.10800;-0.57300;1.01800;1.48500
514.5;4.51900;-2.09700;-0.65200;1.04800;1.58300
515;4.55200;-2.11400;-0.67600;1.08000;1.66400
515.5;4.61300;-2.00000;-0.65700;1.04300;1.70000
516;4.64000;-1.92400;-0.60200;0.97700;1.63000
516.5;4.62200;-1.92200;-0.58900;0.92800;1.55200
517;4.58500;-1.90000;-0.55700;0.89000;1.55200
517.5;4.49600;-1.88200;-0.57600;0.84400;1.45200
518;4.35500;-1.96000;-0.57300;0.78600;1.30200
518.5;4.24400;-2.00500;-0.52000;0.70600;1.16200
519;4.16500;-2.11500;-0.46200;0.69500;1.11900
519.5;4.06700;-2.26300;-0.41500;0.75100;1.17700
520;3.96200;-2.40900;-0.36600;0.82500;1.32400
520.5;3.98700;-2.48400;-0.42200;0.91900;1.50600
521;4.05500;-2.48700;-0.55000;1.00200;1.63600
521.5;4.11800;-2.51800;-0.74500;1.06100;1.73300
522;4.13400;-2.36000;-0.85800;1.12900;1.86700
522.5;4.14600;-2.24400;-0.94300;1.14500;1.86800
523;4.28200;-2.01500;-0.91800;1.15800;1.80200
523.5;4.56800;-1.72900;-0.80300;1.10800;1.63800
524;4.85900;-1.47400;-0.67200;1.01300;1.50400
524.5;5.08800;-1.29400;-0.55400;0.97400;1.34100
525;5.27500;-1.19900;-0.42800;0.88800;1.22300
525.5;5.35600;-1.25000;-0.33200;0.80000;1.09100
526;5.32600;-1.36300;-0.30200;0.69300;0.95000
526.5;5.08500;-1.59800;-0.33200;0.67400;0.94300
527;4.74100;-1.83900;-0.30300;0.68600;0.98000
527.5;4.24000;-2.18000;-0.30500;0.69800;1.08000
528;3.90600;-2.41300;-0.29100;0.74800;1.13600
528.5;3.69200;-2.60800;-0.34000;0.77400;1.20400
529;3.69600;-2.57100;-0.40100;0.80000;1.23100
529.5;3.84100;-2.46500;-0.46600;0.83000;1.24100
530;4.10100;-2.30500;-0.43600;0.77600;1.18700
530.5;4.45500;-1.95300;-0.42200;0.76400;1.21400
531;4.91600;-1.54500;-0.48300;0.77100;1.23300
531.5;5.27900;-1.19000;-0.57500;0.85400;1.33200
532;5.39800;-1.02700;-0.59700;0.90700;1.43700
532.5;5.27600;-1.10600;-0.64000;0.91700;1.50000
533;5.07600;-1.32800;-0.60400;0.93900;1.49900
533.5;4.77200;-1.65400;-0.60600;0.96300;1.51300
534;4.51700;-1.91300;-0.56100;1.00000;1.53900
534.5;4.28200;-2.16300;-0.52200;0.98400;1.53300
535;4.08200;-2.38200;-0.39300;0.87300;1.37800
535.5;4.06400;-2.34900;-0.33300;0.79900;1.34200
536;4.19300;-2.19500;-0.26300;0.74300;1.32100
536.5;4.39000;-1.92100;-0.28100;0.71600;1.33300
537;4.50800;-1.75000;-0.30300;0.73200;1.41000
537.5;4.63000;-1.64500;-0.36500;0.79300;1.45700
538;4.65600;-1.61300;-0.38600;0.87500;1.55200
538.5;4.63600;-1.63200;-0.42400;0.96300;1.66200
539;4.51700;-1.80200;-0.44100;1.03500;1.76600
539.5;4.30800;-2.06700;-0.46500;1.02700;1.75400
540;4.03600;-2.35700;-0.50000;0.97800;1.70200
540.5;3.93000;-2.44000;-0.47800;0.91500;1.65100
541;3.95400;-2.38300;-0.41600;0.84900;1.62000
541.5;4.17800;-2.13300;-0.33500;0.75800;1.43800
542;4.47300;-1.85500;-0.26100;0.74500;1.34600
542.5;4.72400;-1.61300;-0.23400;0.79300;1.32100
543;4.92600;-1.40900;-0.23300;0.83400;1.33500
543.5;5.13200;-1.21700;-0.24300;0.85900;1.26100
544;5.20200;-1.23200;-0.30500;0.86200;1.13100
544.5;5.04000;-1.37000;-0.40400;0.81700;1.00100
545;4.84800;-1.57800;-0.46100;0.77700;0.95100
545.5;4.74900;-1.75800;-0.48200;0.79000;1.02500
546;4.71900;-1.85600;-0.49700;0.78100;1.19100
546.5;4.68900;-1.88200;-0.40900;0.78800;1.28200
547;4.72400;-1.81700;-0.37400;0.80900;1.43500
547.5;4.81300;-1.74700;-0.43000;0.87200;1.63200
548;4.97200;-1.60700;-0.52500;0.92300;1.78800
548.5;5.13200;-1.45300;-0.53800;0.92900;1.79500
549;5.26000;-1.41800;-0.56300;0.91500;1.76200
549.5;5.20800;-1.52400;-0.58100;0.88900;1.69100
550;5.27400;-1.58300;-0.50900;0.84400;1.59700
550.5;5.14200;-1.72800;-0.45900;0.82400;1.46100
551;4.94000;-1.88800;-0.37700;0.82000;1.35100
551.5;4.64800;-2.03400;-0.30500;0.82600;1.30700
552;4.46600;-2.11900;-0.29900;0.83800;1.28600
552.5;4.42900;-2.14300;-0.35800;0.89700;1.34900
553;4.57700;-1.98900;-0.43300;0.95900;1.36500
553.5;4.70100;-1.80700;-0.47500;0.99700;1.33300
554;4.96200;-1.64100;-0.49500;1.00500;1.37600
554.5;5.20200;-1.50400;-0.50300;0.99200;1.28100
555;5.50600;-1.32400;-0.50500;0.89900;1.12400
555.5;5.48300;-1.37400;-0.48400;0.81100;0.90400
556;5.37200;-1.46900;-0.42600;0.77500;0.79700
556.5;5.14100;-1.65600;-0.36300;0.70100;0.75600
557;4.83000;-1.96200;-0.29600;0.67300;0.75500
557.5;4.34200;-2.43800;-0.33100;0.67100;0.83100
558;3.92200;-2.77000;-0.45000;0.72300;0.88000
558.5;3.55300;-2.96400;-0.62400;0.82900;0.95300
559;3.48100;-3.00800;-0.71500;0.91500;1.08200
559.5;3.52300;-2.94800;-0.82900;1.01800;1.15300
560;3.76400;-2.78500;-0.85000;1.00900;1.16600
560.5;4.00000;-2.67700;-0.82700;1.01700;1.17900
561;4.31200;-2.45000;-0.73400;0.98500;1.14800
561.5;4.53200;-2.33500;-0.63800;0.95000;1.11100
562;4.57700;-2.38100;-0.57800;0.91400;1.15500
562.5;4.44000;-2.52800;-0.55000;0.83900;1.21400
563;4.26600;-2.71000;-0.55100;0.78400;1.27600
563.5;4.10000;-2.78300;-0.54800;0.74500;1.28300
564;4.00500;-2.82700;-0.59000;0.67900;1.25800
564.5;3.93800;-2.80800;-0.66100;0.66100;1.22700
565;3.88400;-2.74000;-0.64900;0.59500;1.16300
565.5;3.88700;-2.57200;-0.57100;0.54300;1.07600
566;3.92600;-2.37000;-0.55100;0.55800;1.01000
566.5;3.96600;-2.29000;-0.60100;0.61900;0.96900
567;3.94500;-2.29900;-0.65300;0.71300;1.08300
567.5;3.97600;-2.26600;-0.62600;0.78100;1.25100
568;4.07800;-2.25600;-0.64400;0.85700;1.37800
568.5;4.09400;-2.24800;-0.60100;0.89000;1.37800
569;4.11400;-2.34400;-0.58000;0.90300;1.39400
569.5;4.13600;-2.43100;-0.54400;0.84900;1.32400
570;4.04100;-2.53200;-0.49200;0.81300;1.30600
570.5;4.12000;-2.42900;-0.40500;0.80000;1.24500
571;4.24000;-2.29100;-0.33500;0.77800;1.12500
571.5;4.41000;-2.13100;-0.37700;0.72100;0.96200
572;4.46100;-1.95500;-0.35200;0.65500;0.81500
572.5;4.49100;-1.83700;-0.36300;0.63000;0.72400
573;4.48300;-1.81100;-0.41700;0.65200;0.66100
573.5;4.31400;-1.95800;-0.40000;0.67300;0.66600
574;4.25400;-2.09200;-0.44900;0.71200;0.74800
574.5;4.16200;-2.27900;-0.49100;0.73700;0.78700
575;4.08300;-2.40100;-0.55000;0.80100;0.93700
575.5;4.23000;-2.42700;-0.63400;0.87400;1.05600
576;4.41900;-2.29400;-0.66200;0.92900;1.27600
576.5;4.55300;-2.13200;-0.68100;0.94600;1.46900
577;4.53200;-2.06000;-0.61400;0.90400;1.45600
577.5;4.44000;-2.11700;-0.53800;0.82600;1.37100
578;4.25400;-2.23300;-0.44400;0.72700;1.22700
578.5;4.20600;-2.33100;-0.41200;0.65800;1.13600
579;4.22400;-2.38200;-0.42800;0.59800;1.02100
579.5;4.17800;-2.47200;-0.48700;0.60300;1.00900
580;4.24900;-2.41900;-0.55300;0.61500;1.01400
580.5;4.38300;-2.35300;-0.63000;0.61600;0.98400
581;4.47500;-2.25500;-0.63800;0.61800;0.97000
581.5;4.41300;-2.24100;-0.61100;0.65600;1.04500
582;4.24800;-2.34900;-0.57700;0.62600;1.01400
582.5;4.12800;-2.43800;-0.55300;0.58800;0.94500
583;4.19900;-2.33800;-0.51000;0.53200;0.81500
583.5;4.33200;-2.18900;-0.53500;0.47700;0.66200
584;4.40300;-2.08300;-0.60000;0.45900;0.57000
584.5;4.41300;-2.02200;-0.63700;0.48300;0.61900
585;4.41200;-2.00300;-0.63000;0.48100;0.61700
585.5;4.32200;-2.07800;-0.62800;0.48400;0.58900
586;4.11400;-2.26500;-0.61400;0.53700;0.61100
586.5;3.83100;-2.54300;-0.60500;0.62900;0.74000
587;3.64700;-2.80200;-0.54600;0.60300;0.74100
587.5;3.63400;-2.85200;-0.50000;0.56500;0.66300
588;3.89900;-2.66300;-0.42200;0.58500;0.59600
588.5;4.19100;-2.29500;-0.38200;0.53500;0.52900
589;4.56400;-1.93300;-0.34500;0.52400;0.53800
589.5;4.82000;-1.64700;-0.26700;0.50600;0.64600
590;5.02000;-1.40000;-0.27000;0.46400;0.70900
590.5;5.09300;-1.26800;-0.31600;0.48800;0.82800
591;4.94000;-1.29700;-0.36100;0.59800;0.96200
591.5;4.74600;-1.50000;-0.35600;0.65400;1.05200
592;4.45900;-1.83300;-0.30200;0.61800;0.93900
592.5;4.16500;-2.12200;-0.27000;0.59700;0.80000
593;3.95800;-2.40000;-0.16000;0.66400;0.77000
593.5;3.87000;-2.44300;-0.12900;0.65100;0.80600
594;3.94700;-2.40000;-0.15200;0.61000;0.78900
594.5;4.07800;-2.24000;-0.23100;0.54600;0.79000
595;4.25800;-2.02900;-0.40500;0.52100;0.81800
595.5;4.41800;-1.86900;-0.50300;0.48300;0.83800
596;4.57800;-1.75400;-0.51700;0.45100;0.76600
596.5;4.73500;-1.71700;-0.50100;0.41100;0.68900
597;4.76000;-1.82400;-0.49900;0.42600;0.71100
597.5;4.72400;-1.95200;-0.46000;0.46600;0.81200
598;4.64600;-2.13000;-0.30200;0.50400;0.89300
598.5;4.54300;-2.23500;-0.27400;0.50400;0.93600
599;4.46300;-2.34700;-0.28400;0.49000;0.86800
599.5;4.27400;-2.47700;-0.37300;0.52200;0.87100
600;4.12400;-2.53600;-0.40100;0.60000;0.86300
600.5;4.04000;-2.61700;-0.39100;0.59900;0.73100
601;4.00500;-2.60200;-0.34700;0.58500;0.56300
601.5;3.92500;-2.60900;-0.41200;0.59400;0.51900
602;3.83900;-2.52900;-0.44700;0.58500;0.56800
602.5;3.76600;-2.51000;-0.46600;0.59200;0.69500
603;3.49900;-2.70700;-0.41900;0.56100;0.77300
603.5;3.10900;-3.06100;-0.45400;0.53400;0.84700
604;2.83100;-3.32100;-0.49100;0.51000;0.85000
604.5;2.62400;-3.54400;-0.52800;0.48400;0.85600
605;2.72800;-3.56100;-0.50000;0.51100;0.84800
605.5;2.89900;-3.50300;-0.42700;0.48000;0.78700
606;3.31000;-3.13100;-0.39800;0.50200;0.78700
606.5;3.74400;-2.73100;-0.43900;0.56500;0.89200
607;4.14700;-2.31800;-0.46600;0.60600;0.93900
607.5;4.35200;-2.03100;-0.51100;0.65200;0.99100
608;4.14600;-2.19400;-0.47500;0.67600;1.03300
608.5;3.73000;-2.58500;-0.36600;0.68100;1.08100
609;3.39400;-2.88100;-0.36300;0.69600;1.08100
609.5;3.01500;-3.27100;-0.33900;0.69000;1.04700
610;2.64100;-3.72500;-0.32400;0.64400;1.01800
610.5;2.45900;-3.95700;-0.30800;0.61100;0.93700
611;2.56100;-3.92700;-0.37300;0.62600;0.96400
611.5;2.72000;-3.82300;-0.48900;0.67100;1.05600
612;2.82700;-3.62900;-0.63700;0.66600;1.05000
612.5;2.90700;-3.47900;-0.68800;0.66300;1.11400
613;2.67400;-3.60800;-0.66400;0.73200;1.17700
613.5;2.33900;-3.94900;-0.54500;0.76700;1.24600
614;2.04100;-4.22500;-0.52000;0.84100;1.35900
614.5;1.89800;-4.38700;-0.50000;0.90400;1.42300
615;1.89000;-4.43300;-0.47800;0.87800;1.41200
615.5;2.11100;-4.24300;-0.44400;0.90600;1.43400
616;2.61100;-3.87000;-0.33500;0.86900;1.40600
616.5;3.12800;-3.38900;-0.25300;0.77600;1.25600
617;3.61200;-2.86700;-0.21600;0.65800;1.06100
617.5;4.06000;-2.50600;-0.14600;0.62900;0.94600
618;4.05400;-2.48200;-0.10600;0.60700;0.76600
618.5;3.95000;-2.60100;-0.00800;0.53600;0.58400
619;3.82000;-2.80200;-0.09700;0.51900;0.52800
619.5;3.68700;-2.96200;-0.21700;0.48000;0.53700
620;3.51100;-3.11200;-0.32700;0.48100;0.61900
620.5;3.41600;-3.17300;-0.40200;0.52100;0.70400
621;3.43300;-3.09700;-0.40100;0.47100;0.66400
621.5;3.51300;-3.06700;-0.46100;0.41200;0.58100
622;3.61500;-3.00000;-0.48900;0.40400;0.58700
622.5;3.66900;-3.09500;-0.47300;0.40900;0.54200
623;3.52000;-3.12200;-0.44200;0.35100;0.47400
623.5;3.59500;-3.07700;-0.30900;0.31400;0.42300
624;3.63000;-3.00600;-0.29900;0.29300;0.37800
624.5;3.67300;-2.95800;-0.25900;0.27900;0.29800
625;3.62800;-3.02500;-0.27300;0.34300;0.22200
625.5;3.55700;-3.06200;-0.31100;0.45600;0.23000
626;3.47700;-3.01200;-0.23700;0.55700;0.26200
626.5;3.39400;-3.03900;-0.20700;0.65500;0.43700
627;3.24500;-3.07500;-0.19200;0.77100;0.63600
627.5;3.05700;-3.22400;-0.20800;0.83100;0.82400
628;2.79600;-3.32800;-0.22300;0.76400;0.83800
628.5;2.62700;-3.46900;-0.24300;0.63900;0.73800
629;2.52700;-3.55400;-0.27100;0.47800;0.60600
629.5;2.66700;-3.50100;-0.32100;0.33500;0.32100
630;2.94000;-3.43000;-0.40900;0.22700;0.14800
630.5;3.25200;-3.25400;-0.48900;0.27200;0.14700
631;3.58000;-2.98800;-0.39800;0.32800;0.12600
631.5;3.81000;-2.83600;-0.36800;0.38500;0.20000
632;3.98600;-2.81400;-0.34300;0.43100;0.26000
632.5;4.03900;-2.89400;-0.31200;0.45700;0.34100
633;3.92100;-3.01300;-0.36700;0.45000;0.30600
633.5;3.81000;-3.07800;-0.48100;0.40000;0.31800
634;3.79100;-2.98000;-0.60600;0.40900;0.39000
634.5;3.91600;-2.79300;-0.70000;0.48500;0.44900
635;3.94200;-2.59500;-0.84300;0.54500;0.65600
635.5;3.99500;-2.46900;-0.87800;0.61900;0.81100
636;3.94000;-2.42500;-0.81000;0.68700;0.85400
636.5;3.76000;-2.59900;-0.68500;0.64600;0.90300
637;3.46000;-2.89900;-0.49100;0.54300;0.79800
637.5;3.09600;-3.23900;-0.27700;0.45100;0.65200
638;2.90400;-3.46200;-0.16000;0.40500;0.50200
638.5;2.90000;-3.51100;-0.09700;0.40400;0.45000
639;3.08800;-3.43100;-0.17900;0.46500;0.28900
639.5;3.33800;-3.39800;-0.39100;0.58400;0.41000
640;3.43300;-3.34400;-0.59500;0.60400;0.46900
640.5;3.56500;-3.20400;-0.73100;0.58200;0.40300
641;3.50700;-3.22900;-0.78300;0.55600;0.34000
641.5;3.50200;-3.26400;-0.80500;0.44600;0.30300
642;3.43800;-3.27000;-0.72700;0.25700;0.25200
642.5;3.21900;-3.38600;-0.57800;0.10900;0.13200
643;2.99400;-3.45900;-0.45800;0.15700;0.17900
643.5;2.85500;-3.59200;-0.36900;0.25900;0.35300
644;2.77300;-3.75500;-0.30100;0.32500;0.40300
644.5;2.72300;-3.84800;-0.43900;0.42600;0.71700
645;2.61000;-3.92000;-0.39800;0.46600;0.76100
645.5;2.50000;-3.92300;-0.37800;0.50900;0.73100
646;2.60200;-3.86700;-0.32300;0.46500;0.73700
646.5;2.81600;-3.70700;-0.24600;0.40700;0.62300
647;3.05200;-3.48900;-0.16000;0.24700;0.54000
647.5;2.96800;-3.49400;-0.04300;0.19900;0.53100
648;2.85600;-3.59300;-0.13400;0.33500;0.68000
648.5;2.97800;-3.55400;-0.20800;0.34700;0.65200
649;3.16500;-3.34900;-0.29900;0.31000;0.58800
649.5;3.41700;-3.05600;-0.48900;0.31200;0.63700
650;3.57900;-2.98400;-0.56400;0.34100;0.57900
650.5;3.74000;-2.81000;-0.61800;0.40500;0.55700
651;3.93300;-2.63800;-0.58000;0.37100;0.46800
651.5;3.78600;-2.72900;-0.51200;0.37600;0.29000
652;3.55300;-2.97500;-0.46600;0.36500;0.12400
652.5;3.09500;-3.39600;-0.31200;0.34100;0.03100
653;2.79700;-3.82600;-0.27700;0.33100;-0.06900
653.5;2.64500;-3.89200;-0.19700;0.22900;-0.21900
654;2.68300;-3.79000;-0.23700;0.20500;-0.16700
654.5;2.88700;-3.68700;-0.25700;0.15900;-0.14200
655;3.16100;-3.55000;-0.31500;0.13600;-0.02200
655.5;3.37200;-3.30400;-0.37300;0.17500;0.02800
656;3.45500;-3.21100;-0.42500;0.22600;0.20800
656.5;3.20100;-3.45200;-0.58300;0.26500;0.31500
657;2.85500;-3.76400;-0.66800;0.32700;0.40500
657.5;2.44800;-4.05800;-0.73100;0.36400;0.43900
658;2.25600;-4.31500;-0.69600;0.39200;0.52700
658.5;2.30000;-4.25500;-0.60100;0.43500;0.59800
659;2.64000;-3.97000;-0.55700;0.52000;0.78000
659.5;3.02600;-3.70600;-0.39600;0.53700;0.93000
660;3.38400;-3.38700;-0.25100;0.49900;1.13600
660.5;3.54100;-3.25400;-0.15200;0.56700;1.28400
661;3.63200;-3.29100;-0.08200;0.68000;1.46100
661.5;3.46700;-3.43700;-0.06400;0.74300;1.45800
662;3.29100;-3.64600;-0.00600;0.72500;1.34700
662.5;2.92400;-3.93900;-0.00700;0.67600;1.09100
663;2.72100;-4.13600;0.12800;0.54900;0.90800
663.5;2.75700;-4.11200;0.25800;0.42900;0.71900
664;2.85300;-4.02300;0.31000;0.34600;0.68300
664.5;2.83800;-4.00400;0.35700;0.25600;0.69300
665;2.79600;-4.01700;0.24900;0.13700;0.78000
665.5;2.72900;-4.08900;0.08000;0.10400;0.86800
